"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,2174,939,1235
,,,,Nørrebro - Haraldsgade-kvarteret,1377,615,762
,,,,Vesterbro - Vest,957,449,508
,,,,Vesterbro - Central,2331,994,1337
,,,,Vesterbro - Øst,886,399,487
,,,,Vesterbro - Syd,355,180,175
,,,,Kgs. Enghave - Bavnehøj,663,303,360
,,,,Kgs. Enghave - Gl. Sydhavn,1536,672,864
,,,,Kgs. Enghave - Holmene,1476,802,674
,,,,Valby - Gl. Valby,1406,646,760
,,,,Valby - Syd,1986,970,1016
,,,,Valby - Ålholm,877,429,448
,,,,Valby - Valby Sydvest,1765,841,924
,,,,Valby - Vigerslev,553,265,288
,,,,Vanløse - Jyllingevej Kvarter,755,392,363
,,,,Vanløse - Jernbane Allé Kvarter,1372,665,707
,,,,Vanløse - Sallingvej Kvarter,799,370,429
,,,,Vanløse - Grøndals Park Kvarter,399,185,214
,,,,Brønshøj-Husum - Husum,841,404,437
,,,,Brønshøj-Husum - Husum Nord,655,315,340
,,,,Brønshøj-Husum - Tingbjerg,433,196,237
,,,,Brønshøj-Husum - Brønshøj,730,336,394
,,,,Brønshøj-Husum - Bellahøj,284,130,154
,,,,Bispebjerg - Emdrup,354,172,182
,,,,Bispebjerg- Ryparken-Lundehus,484,229,255
,,,,Bispebjerg - Bispebjerg,462,192,270
,,,,Bispebjerg - Utterslev,431,192,239
,,,,Bispebjerg - Nordvest,3758,1675,2083
,,,,Amager Øst - Amagerbro Øst,3027,1344,1683
,,,,Amager Øst - Sundbyøster,1459,647,812
,,,,Amager Øst - Villakvartererne,1315,584,731
,,,,Amager Øst - Nordøstamager,666,348,318
,,,,Amager Vest - Amagerbro Vest,767,327,440
,,,,Amager Vest - Bryggen Syd,212,101,111
,,,,Amager Vest - Faste Batteri,578,251,327
,,,,Amager Vest - Gamle Bryggen,557,259,298
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),621,249,372
,,,,Amager Vest - Kolonihavekvarteret,764,376,388
,,,,Amager Vest - Sundbyvester,993,481,512
,,,,Amager Vest - Sundholmsvejs kvarteret,1341,589,752
,,,,Amager Vest - Urbanplanen,270,121,149
,,,,Amager Vest - Ørestad City,1169,574,595
,,,,Amager Vest - Ørestad Syd,1316,680,636
,,,Vocational education and training programs and short-cycle higher education programs,København in total,26469,15631,10838
,,,,district - inner city,1507,869,638
,,,,district - Østerbro,2445,1423,1022
,,,,district - Nørrebro,2782,1647,1135
,,,,district - Vesterbro/Kongens Enghave,2963,1790,1173
,,,,district - Valby,3702,2204,1498
,,,,district - Vanløse,1790,1128,662
,,,,district - Brønshøj-Husum,1875,1039,836
,,,,district - Bispebjerg,2502,1444,1058
,,,,district - Amager Øst,3072,1807,1265
,,,,district - Amager Vest,3690,2188,1502
,,,,local committee - inner city,1231,704,527
,,,,local committee - Christianshavn,276,165,111
,,,,local committee - Østerbro,2445,1423,1022
,,,,local committee - Nørrebro,2782,1647,1135
,,,,local committee - Vesterbro,1401,841,560
,,,,local committee - Kgs. Enghave,1562,949,613
,,,,local committee - Valby,3702,2204,1498
,,,,local committee - Vanløse,1790,1128,662
,,,,local committee - Brønshøj-Husum,1875,1039,836
,,,,local committee - Bispebjerg,2502,1444,1058
,,,,local committee - Amager Øst,3072,1807,1265
,,,,local committee - Amager Vest,3690,2188,1502
,,,,inner city - Middelalderbyen,314,180,134
,,,,inner city - Metropolzonen,69,42,27
,,,,inner city - Nansensgade-kvarteret,185,109,76
,,,,inner city - Øster Farimagsgade-kvarteret,137,69,68
,,,,inner city - Østerport,94,63,31
,,,,inner city - Frederiksstaden,360,197,163
,,,,inner city - Gammelholm og Nyhavn,72,44,28
,,,,Christianshavn - Neden Vandet,57,35,22
,,,,Christianshavn - Oven Vandet,154,91,63
,,,,Christianshavn - Holmen og Refshaleøen,65,39,26
,,,,Østerbro - Nord/Komponistkvarteret,108,68,40
,,,,Østerbro - Svanemøllen Syd/Øst,406,250,156
,,,,Østerbro - yearshusgade Nord,355,211,144
,,,,Østerbro - yearshusgade Syd,322,184,138
,,,,Østerbro - Rosenvænget,239,145,94
,,,,Østerbro - Ny Ryvang,128,63,65
,,,,Østerbro - Nord,113,60,53
,,,,Østerbro - Nordhavn,107,59,48
,,,,Østerbro - Lyngbyvej Vest,196,120,76
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,277,155,122
,,,,Østerbro - Fælled,194,108,86
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,481,283,198
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,549,317,232
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,623,382,241
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,700,419,281
,,,,Nørrebro - Haraldsgade-kvarteret,429,246,183
,,,,Vesterbro - Vest,324,188,136
,,,,Vesterbro - Central,680,404,276
,,,,Vesterbro - Øst,227,143,84
,,,,Vesterbro - Syd,170,106,64
,,,,Kgs. Enghave - Bavnehøj,177,115,62
,,,,Kgs. Enghave - Gl. Sydhavn,698,403,295
,,,,Kgs. Enghave - Holmene,687,431,256
,,,,Valby - Gl. Valby,596,348,248
,,,,Valby - Syd,1079,636,443
,,,,Valby - Ålholm,495,321,174
,,,,Valby - Valby Sydvest,1006,590,416
,,,,Valby - Vigerslev,526,309,217
,,,,Vanløse - Jyllingevej Kvarter,370,232,138
,,,,Vanløse - Jernbane Allé Kvarter,806,494,312
,,,,Vanløse - Sallingvej Kvarter,426,282,144
,,,,Vanløse - Grøndals Park Kvarter,188,120,68
,,,,Brønshøj-Husum - Husum,632,367,265
,,,,Brønshøj-Husum - Husum Nord,488,252,236
,,,,Brønshøj-Husum - Tingbjerg,252,130,122
,,,,Brønshøj-Husum - Brønshøj,339,200,139
,,,,Brønshøj-Husum - Bellahøj,164,90,74
,,,,Bispebjerg - Emdrup,121,78,43
,,,,Bispebjerg- Ryparken-Lundehus,224,134,90
,,,,Bispebjerg - Bispebjerg,272,169,103
,,,,Bispebjerg - Utterslev,266,141,125
,,,,Bispebjerg - Nordvest,1619,922,697
,,,,Amager Øst - Amagerbro Øst,1244,731,513
,,,,Amager Øst - Sundbyøster,804,497,307
,,,,Amager Øst - Villakvartererne,687,384,303
,,,,Amager Øst - Nordøstamager,337,195,142
,,,,Amager Vest - Amagerbro Vest,275,176,99
,,,,Amager Vest - Bryggen Syd,90,51,39
,,,,Amager Vest - Faste Batteri,158,105,53
,,,,Amager Vest - Gamle Bryggen,263,173,90
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),108,57,51
,,,,Amager Vest - Kolonihavekvarteret,184,104,80
,,,,Amager Vest - Sundbyvester,447,262,185
,,,,Amager Vest - Sundholmsvejs kvarteret,563,325,238
,,,,Amager Vest - Urbanplanen,183,102,81
,,,,Amager Vest - Ørestad City,693,392,301
,,,,Amager Vest - Ørestad Syd,726,441,285
,,,Medium-cycle higher education programs and bachelor’s degree programs,København in total,64532,27838,36694
,,,,district - inner city,5550,2406,3144
,,,,district - Østerbro,7130,3116,4014
,,,,district - Nørrebro,9665,3984,5681
,,,,district - Vesterbro/Kongens Enghave,8182,3611,4571
,,,,district - Valby,6295,2842,3453
,,,,district - Vanløse,3008,1295,1713
,,,,district - Brønshøj-Husum,2443,1032,1411
,,,,district - Bispebjerg,6249,2534,3715
,,,,district - Amager Øst,6221,2658,3563
,,,,district - Amager Vest,9393,4175,5218
,,,,local committee - inner city,4520,1957,2563
,,,,local committee - Christianshavn,1030,449,581
,,,,local committee - Østerbro,7130,3116,4014
,,,,local committee - Nørrebro,9665,3984,5681
,,,,local committee - Vesterbro,4321,1853,2468
,,,,local committee - Kgs. Enghave,3861,1758,2103
,,,,local committee - Valby,6295,2842,3453
,,,,local committee - Vanløse,3008,1295,1713
,,,,local committee - Brønshøj-Husum,2443,1032,1411
,,,,local committee - Bispebjerg,6249,2534,3715
,,,,local committee - Amager Øst,6221,2658,3563
,,,,local committee - Amager Vest,9393,4175,5218
,,,,inner city - Middelalderbyen,1246,549,697
,,,,inner city - Metropolzonen,313,145,168
,,,,inner city - Nansensgade-kvarteret,583,254,329
,,,,inner city - Øster Farimagsgade-kvarteret,526,217,309
,,,,inner city - Østerport,307,132,175
,,,,inner city - Frederiksstaden,1298,553,745
,,,,inner city - Gammelholm og Nyhavn,247,107,140
,,,,Christianshavn - Neden Vandet,220,95,125
,,,,Christianshavn - Oven Vandet,495,196,299
,,,,Christianshavn - Holmen og Refshaleøen,315,158,157
,,,,Østerbro - Nord/Komponistkvarteret,277,108,169
,,,,Østerbro - Svanemøllen Syd/Øst,1056,466,590
,,,,Østerbro - yearshusgade Nord,1106,469,637
,,,,Østerbro - yearshusgade Syd,989,426,563
,,,,Østerbro - Rosenvænget,870,399,471
,,,,Østerbro - Ny Ryvang,194,95,99
,,,,Østerbro - Nord,214,83,131
,,,,Østerbro - Nordhavn,509,241,268
,,,,Østerbro - Lyngbyvej Vest,513,223,290
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,750,336,414
,,,,Østerbro - Fælled,652,270,382
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1406,568,838
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,2427,1014,1413
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,2010,824,1186
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,2418,1025,1393
,,,,Nørrebro - Haraldsgade-kvarteret,1404,553,851
,,,,Vesterbro - Vest,938,380,558
,,,,Vesterbro - Central,2063,859,1204
,,,,Vesterbro - Øst,785,352,433
,,,,Vesterbro - Syd,535,262,273
,,,,Kgs. Enghave - Bavnehøj,559,232,327
,,,,Kgs. Enghave - Gl. Sydhavn,1238,530,708
,,,,Kgs. Enghave - Holmene,2064,996,1068
,,,,Valby - Gl. Valby,1254,541,713
,,,,Valby - Syd,1954,914,1040
,,,,Valby - Ålholm,681,286,395
,,,,Valby - Valby Sydvest,1782,826,956
,,,,Valby - Vigerslev,624,275,349
,,,,Vanløse - Jyllingevej Kvarter,571,246,325
,,,,Vanløse - Jernbane Allé Kvarter,1277,554,723
,,,,Vanløse - Sallingvej Kvarter,753,326,427
,,,,Vanløse - Grøndals Park Kvarter,407,169,238
,,,,Brønshøj-Husum - Husum,727,316,411
,,,,Brønshøj-Husum - Husum Nord,531,225,306
,,,,Brønshøj-Husum - Tingbjerg,381,158,223
,,,,Brønshøj-Husum - Brønshøj,566,230,336
,,,,Brønshøj-Husum - Bellahøj,238,103,135
,,,,Bispebjerg - Emdrup,308,106,202
,,,,Bispebjerg- Ryparken-Lundehus,527,219,308
,,,,Bispebjerg - Bispebjerg,453,176,277
,,,,Bispebjerg - Utterslev,484,187,297
,,,,Bispebjerg - Nordvest,4477,1846,2631
,,,,Amager Øst - Amagerbro Øst,2772,1175,1597
,,,,Amager Øst - Sundbyøster,1324,530,794
,,,,Amager Øst - Villakvartererne,1161,505,656
,,,,Amager Øst - Nordøstamager,964,448,516
,,,,Amager Vest - Amagerbro Vest,748,292,456
,,,,Amager Vest - Bryggen Syd,274,120,154
,,,,Amager Vest - Faste Batteri,767,361,406
,,,,Amager Vest - Gamle Bryggen,562,237,325
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),720,312,408
,,,,Amager Vest - Kolonihavekvarteret,723,336,387
,,,,Amager Vest - Sundbyvester,810,365,445
,,,,Amager Vest - Sundholmsvejs kvarteret,1329,541,788
,,,,Amager Vest - Urbanplanen,186,69,117
,,,,Amager Vest - Ørestad City,1701,809,892
,,,,Amager Vest - Ørestad Syd,1573,733,840
,,,Long-cycle higher education programs and PhD and research degree programs,København in total,60555,27784,32771
,,,,district - inner city,5184,2445,2739
,,,,district - Østerbro,8270,3905,4365
,,,,district - Nørrebro,9226,4070,5156
,,,,district - Vesterbro/Kongens Enghave,9289,4265,5024
,,,,district - Valby,5342,2433,2909
,,,,district - Vanløse,2771,1243,1528
,,,,district - Brønshøj-Husum,1638,747,891
,,,,district - Bispebjerg,5598,2537,3061
,,,,district - Amager Øst,5541,2479,3062
,,,,district - Amager Vest,7334,3481,3853
,,,,local committee - inner city,4263,2014,2249
,,,,local committee - Christianshavn,921,431,490
,,,,local committee - Østerbro,8270,3905,4365
,,,,local committee - Nørrebro,9226,4070,5156
,,,,local committee - Vesterbro,5308,2378,2930
,,,,local committee - Kgs. Enghave,3981,1887,2094
,,,,local committee - Valby,5342,2433,2909
,,,,local committee - Vanløse,2771,1243,1528
,,,,local committee - Brønshøj-Husum,1638,747,891
,,,,local committee - Bispebjerg,5598,2537,3061
,,,,local committee - Amager Øst,5541,2479,3062
,,,,local committee - Amager Vest,7334,3481,3853
,,,,inner city - Middelalderbyen,1037,507,530
,,,,inner city - Metropolzonen,297,141,156
,,,,inner city - Nansensgade-kvarteret,672,322,350
,,,,inner city - Øster Farimagsgade-kvarteret,613,271,342
,,,,inner city - Østerport,346,165,181
,,,,inner city - Frederiksstaden,1044,490,554
,,,,inner city - Gammelholm og Nyhavn,254,118,136
,,,,Christianshavn - Neden Vandet,225,108,117
,,,,Christianshavn - Oven Vandet,497,232,265
,,,,Christianshavn - Holmen og Refshaleøen,199,91,108
,,,,Østerbro - Nord/Komponistkvarteret,375,163,212
,,,,Østerbro - Svanemøllen Syd/Øst,1087,545,542
,,,,Østerbro - yearshusgade Nord,1325,621,704
,,,,Østerbro - yearshusgade Syd,1224,569,655
,,,,Østerbro - Rosenvænget,907,424,483
,,,,Østerbro - Ny Ryvang,185,94,91
,,,,Østerbro - Nord,275,126,149
,,,,Østerbro - Nordhavn,760,389,371
,,,,Østerbro - Lyngbyvej Vest,531,238,293
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,901,420,481
,,,,Østerbro - Fælled,700,316,384
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1441,612,829
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,2040,911,1129
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,2275,980,1295
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,2419,1101,1318
,,,,Nørrebro - Haraldsgade-kvarteret,1051,466,585
,,,,Vesterbro - Vest,1279,533,746
,,,,Vesterbro - Central,2387,1067,1320
,,,,Vesterbro - Øst,872,397,475
,,,,Vesterbro - Syd,770,381,389
,,,,Kgs. Enghave - Bavnehøj,339,146,193
,,,,Kgs. Enghave - Gl. Sydhavn,1028,452,576
,,,,Kgs. Enghave - Holmene,2614,1289,1325
,,,,Valby - Gl. Valby,1146,539,607
,,,,Valby - Syd,1954,887,1067
,,,,Valby - Ålholm,555,235,320
,,,,Valby - Valby Sydvest,1350,634,716
,,,,Valby - Vigerslev,337,138,199
,,,,Vanløse - Jyllingevej Kvarter,491,223,268
,,,,Vanløse - Jernbane Allé Kvarter,1096,523,573
,,,,Vanløse - Sallingvej Kvarter,831,352,479
,,,,Vanløse - Grøndals Park Kvarter,353,145,208
,,,,Brønshøj-Husum - Husum,509,227,282
,,,,Brønshøj-Husum - Husum Nord,283,142,141
,,,,Brønshøj-Husum - Tingbjerg,152,67,85
,,,,Brønshøj-Husum - Brønshøj,520,231,289
,,,,Brønshøj-Husum - Bellahøj,174,80,94
,,,,Bispebjerg - Emdrup,219,102,117
,,,,Bispebjerg- Ryparken-Lundehus,459,210,249
,,,,Bispebjerg - Bispebjerg,330,148,182
,,,,Bispebjerg - Utterslev,427,180,247
,,,,Bispebjerg - Nordvest,4163,1897,2266
,,,,Amager Øst - Amagerbro Øst,2326,1025,1301
,,,,Amager Øst - Sundbyøster,1188,528,660
,,,,Amager Øst - Villakvartererne,827,376,451
,,,,Amager Øst - Nordøstamager,1200,550,650
,,,,Amager Vest - Amagerbro Vest,723,318,405
,,,,Amager Vest - Bryggen Syd,453,223,230
,,,,Amager Vest - Faste Batteri,691,343,348
,,,,Amager Vest - Gamle Bryggen,672,280,392
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),298,150,148
,,,,Amager Vest - Kolonihavekvarteret,149,71,78
,,,,Amager Vest - Sundbyvester,521,223,298
,,,,Amager Vest - Sundholmsvejs kvarteret,905,420,485
,,,,Amager Vest - Urbanplanen,110,43,67
,,,,Amager Vest - Ørestad City,1455,734,721
,,,,Amager Vest - Ørestad Syd,1357,676,681
,,danish ethnicity,"Primary and lower secondary school, and unspecified etc.",København in total,32012,17435,14577
,,,,district - inner city,2842,1526,1316
,,,,district - Østerbro,4153,2308,1845
,,,,district - Nørrebro,3259,1702,1557
,,,,district - Vesterbro/Kongens Enghave,3758,1960,1798
,,,,district - Valby,3386,1910,1476
,,,,district - Vanløse,2400,1309,1091
,,,,district - Brønshøj-Husum,2244,1209,1035
,,,,district - Bispebjerg,2143,1196,947
,,,,district - Amager Øst,3227,1783,1444
,,,,district - Amager Vest,4326,2330,1996
,,,,local committee - inner city,2168,1172,996
,,,,local committee - Christianshavn,674,354,320
,,,,local committee - Østerbro,4153,2308,1845
,,,,local committee - Nørrebro,3259,1702,1557
,,,,local committee - Vesterbro,2359,1233,1126
,,,,local committee - Kgs. Enghave,1399,727,672
,,,,local committee - Valby,3386,1910,1476
,,,,local committee - Vanløse,2400,1309,1091
,,,,local committee - Brønshøj-Husum,2244,1209,1035
,,,,local committee - Bispebjerg,2143,1196,947
,,,,local committee - Amager Øst,3227,1783,1444
,,,,local committee - Amager Vest,4326,2330,1996
,,,,inner city - Middelalderbyen,389,224,165
,,,,inner city - Metropolzonen,101,..,..
,,,,inner city - Nansensgade-kvarteret,400,213,187
,,,,inner city - Øster Farimagsgade-kvarteret,440,223,217
,,,,inner city - Østerport,232,120,112
,,,,inner city - Frederiksstaden,450,268,182
,,,,inner city - Gammelholm og Nyhavn,156,77,79
,,,,Christianshavn - Neden Vandet,139,70,69
,,,,Christianshavn - Oven Vandet,362,195,167
,,,,Christianshavn - Holmen og Refshaleøen,173,89,84
,,,,Østerbro - Nord/Komponistkvarteret,222,122,100
,,,,Østerbro - Svanemøllen Syd/Øst,506,292,214
,,,,Østerbro - yearshusgade Nord,392,216,176
,,,,Østerbro - yearshusgade Syd,691,386,305
,,,,Østerbro - Rosenvænget,606,329,277
,,,,Østerbro - Ny Ryvang,205,116,89
,,,,Østerbro - Nord,271,147,124
,,,,Østerbro - Nordhavn,258,144,114
,,,,Østerbro - Lyngbyvej Vest,210,112,98
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,344,187,157
,,,,Østerbro - Fælled,448,257,191
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,673,345,328
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,865,439,426
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,782,423,359
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,543,293,250
,,,,Nørrebro - Haraldsgade-kvarteret,396,202,194
,,,,Vesterbro - Vest,552,276,276
,,,,Vesterbro - Central,1254,672,582
,,,,Vesterbro - Øst,415,209,206
,,,,Vesterbro - Syd,138,76,62
,,,,Kgs. Enghave - Bavnehøj,135,67,68
,,,,Kgs. Enghave - Gl. Sydhavn,663,352,311
,,,,Kgs. Enghave - Holmene,601,308,293
,,,,Valby - Gl. Valby,625,340,285
,,,,Valby - Syd,1103,613,490
,,,,Valby - Ålholm,613,354,259
,,,,Valby - Valby Sydvest,657,362,295
,,,,Valby - Vigerslev,388,241,147
,,,,Vanløse - Jyllingevej Kvarter,860,459,401
,,,,Vanløse - Jernbane Allé Kvarter,710,386,324
,,,,Vanløse - Sallingvej Kvarter,540,302,238
,,,,Vanløse - Grøndals Park Kvarter,290,162,128
,,,,Brønshøj-Husum - Husum,988,541,447
,,,,Brønshøj-Husum - Husum Nord,312,176,136
,,,,Brønshøj-Husum - Tingbjerg,105,46,59
,,,,Brønshøj-Husum - Brønshøj,704,376,328
,,,,Brønshøj-Husum - Bellahøj,135,..,..
,,,,Bispebjerg - Emdrup,247,138,109
,,,,Bispebjerg- Ryparken-Lundehus,298,158,140
,,,,Bispebjerg - Bispebjerg,283,155,128
,,,,Bispebjerg - Utterslev,254,141,113
,,,,Bispebjerg - Nordvest,1061,604,457
,,,,Amager Øst - Amagerbro Øst,1164,626,538
,,,,Amager Øst - Sundbyøster,689,380,309
,,,,Amager Øst - Villakvartererne,1037,581,456
,,,,Amager Øst - Nordøstamager,337,196,141
,,,,Amager Vest - Amagerbro Vest,334,176,158
,,,,Amager Vest - Bryggen Syd,266,150,116
,,,,Amager Vest - Faste Batteri,158,84,74
,,,,Amager Vest - Gamle Bryggen,415,223,192
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),139,76,63
,,,,Amager Vest - Kolonihavekvarteret,345,198,147
,,,,Amager Vest - Sundbyvester,873,444,429
,,,,Amager Vest - Sundholmsvejs kvarteret,575,323,252
,,,,Amager Vest - Urbanplanen,246,126,120
,,,,Amager Vest - Ørestad City,380,193,187
,,,,Amager Vest - Ørestad Syd,595,337,258
,,,Upper secondary education programs and qualifying preparatory education courses,København in total,52881,24458,28423
,,,,district - inner city,5263,2441,2822
,,,,district - Østerbro,6754,3199,3555
,,,,district - Nørrebro,7808,3401,4407
,,,,district - Vesterbro/Kongens Enghave,6942,3215,3727
,,,,district - Valby,5359,2544,2815
,,,,district - Vanløse,2797,1360,1437
,,,,district - Brønshøj-Husum,1851,888,963
,,,,district - Bispebjerg,4207,1882,2325
,,,,district - Amager Øst,5490,2493,2997
,,,,district - Amager Vest,6306,2978,3328
,,,,local committee - inner city,4250,1966,2284
,,,,local committee - Christianshavn,1013,475,538
,,,,local committee - Østerbro,6754,3199,3555
,,,,local committee - Nørrebro,7808,3401,4407
,,,,local committee - Vesterbro,3940,1750,2190
,,,,local committee - Kgs. Enghave,3002,1465,1537
,,,,local committee - Valby,5359,2544,2815
,,,,local committee - Vanløse,2797,1360,1437
,,,,local committee - Brønshøj-Husum,1851,888,963
,,,,local committee - Bispebjerg,4207,1882,2325
,,,,local committee - Amager Øst,5490,2493,2997
,,,,local committee - Amager Vest,6306,2978,3328
,,,,inner city - Middelalderbyen,1110,493,617
,,,,inner city - Metropolzonen,181,73,108
,,,,inner city - Nansensgade-kvarteret,678,316,362
,,,,inner city - Øster Farimagsgade-kvarteret,624,287,337
,,,,inner city - Østerport,329,155,174
,,,,inner city - Frederiksstaden,1024,516,508
,,,,inner city - Gammelholm og Nyhavn,304,126,178
,,,,Christianshavn - Neden Vandet,146,72,74
,,,,Christianshavn - Oven Vandet,561,252,309
,,,,Christianshavn - Holmen og Refshaleøen,306,151,155
,,,,Østerbro - Nord/Komponistkvarteret,321,143,178
,,,,Østerbro - Svanemøllen Syd/Øst,855,405,450
,,,,Østerbro - yearshusgade Nord,1060,516,544
,,,,Østerbro - yearshusgade Syd,1089,507,582
,,,,Østerbro - Rosenvænget,805,386,419
,,,,Østerbro - Ny Ryvang,139,66,73
,,,,Østerbro - Nord,235,123,112
,,,,Østerbro - Nordhavn,357,169,188
,,,,Østerbro - Lyngbyvej Vest,376,177,199
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,733,353,380
,,,,Østerbro - Fælled,784,354,430
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1168,520,648
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,2177,1000,1177
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1642,656,986
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,1784,756,1028
